unitid,icon,army,step,datetime,geopos
B03RFG2B,5,3,49,1815-06-17T01:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,50,1815-06-17T02:00:00Z,"4.4385, 50.5597"
B03RFG2B,5,3,50,1815-06-17T02:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,51,1815-06-17T03:00:00Z,"4.4385, 50.5597"
B03RFG2B,5,3,51,1815-06-17T03:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,52,1815-06-17T04:00:00Z,"4.4385, 50.5597"
B03RFG2B,5,3,52,1815-06-17T04:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,53,1815-06-17T05:00:00Z,"4.4385, 50.5597"
B03RFG2B,5,3,53,1815-06-17T05:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,54,1815-06-17T06:00:00Z,"4.4385, 50.5597"
B03RFG2B,5,3,54,1815-06-17T06:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,55,1815-06-17T07:00:00Z,"4.4385, 50.5597"
B03RFG2B,5,3,55,1815-06-17T07:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,56,1815-06-17T08:00:00Z,"4.4385, 50.5597"
B03RFG2B,5,3,56,1815-06-17T08:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,57,1815-06-17T09:00:00Z,"4.4385, 50.5597"
B03RFG2B,5,3,57,1815-06-17T09:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,66,1815-06-17T18:00:00Z,"4.3963, 50.6749"
B03RFG2B,5,3,67,1815-06-17T19:00:00Z,"4.3935, 50.67"
B03RFG2B,5,3,68,1815-06-17T20:00:00Z,"4.3935, 50.67"
B03RFG2B,5,3,69,1815-06-17T21:00:00Z,"4.3935, 50.67"
B03RFG2B,5,3,70,1815-06-17T22:00:00Z,"4.3935, 50.67"
B03RFG2B,5,3,71,1815-06-17T23:00:00Z,"4.3935, 50.67"
B03RFG2B,5,3,72,1815-06-18T00:00:00Z,"4.3935, 50.67"
B03RFG2B,5,3,73,1815-06-18T01:00:00Z,"4.3935, 50.67"
B03RFG2B,5,3,74,1815-06-18T02:00:00Z,"4.3935, 50.67"
B03RFG2B,5,3,75,1815-06-18T03:00:00Z,"4.3935, 50.67"
B03RFG2B,5,3,76,1815-06-18T04:00:00Z,"4.3935, 50.67"
B03RFG2B,5,3,77,1815-06-18T05:00:00Z,"4.3936, 50.671"
