"unit_id","person_id","role_id","source"
410,599,59,1
411,284,59,1
412,540,59,1
413,890,59,1
24,485,59,1
414,108,59,1
415,408,59,1
416,282,59,1
417,106,59,1
193,292,59,1
910,545,59,1
911,42,59,1
94,115,59,1
25,357,59,1
418,44,59,1
419,286,59,1
420,297,59,1
421,419,59,1
26,29,59,1
422,159,59,1
423,532,59,1
424,536,59,1
425,860,59,1
194,45,59,1
912,649,59,1
913,586,59,1
95,804,59,1
283,1,59,1
426,872,59,1
427,891,59,1
428,828,59,1
429,838,59,1
96,197,59,1
430,840,59,1
27,763,59,1
431,498,59,1
433,303,59,1
434,41,59,1
435,207,59,1
28,870,59,1
437,415,59,1
438,598,59,1
439,471,59,1
914,825,59,1
915,291,59,1
744,120,59,1
745,497,59,1
227,499,59,1
126,589,59,1
746,216,59,1
747,366,59,1
748,299,59,1
749,219,59,1
127,493,59,1
750,111,59,1
751,283,59,1
752,427,59,1
128,770,59,1
736,765,59,1
753,710,59,1
754,495,59,1
129,651,59,1
755,588,59,1
756,492,59,1
757,289,59,1
130,242,59,1
758,813,59,1
759,346,59,1
760,158,59,1
131,654,59,1
761,895,59,1
762,530,59,1
763,426,59,1
132,743,59,1
764,417,59,1
765,39,59,1
133,775,59,1
766,348,59,1
767,761,59,1
768,783,59,1
196,409,59,1
916,46,59,1
917,672,59,1
918,236,59,1
919,674,59,1
920,414,59,1
921,533,59,1
1,904,59,1
29,747,59,1
30,24,59,1
31,33,59,1
32,894,59,1
457,49,59,1
458,596,59,1
922,306,59,1
923,237,59,1
924,9,59,1
230,82,55,1
1093,73,68,1
1093,268,69,1
1093,230,70,1
1093,719,71,1
1093,436,72,1
1093,378,84,1
1093,434,73,1
1093,273,74,1
1093,156,75,1
1093,707,76,1
1094,618,77,1
1094,57,64,1
1094,454,87,1
1094,624,87,1
1094,513,87,1
1094,693,87,1
1094,702,87,1
1094,269,87,1
1094,564,87,1
1094,688,87,1
1094,326,87,1
1094,205,87,1
1094,570,56,1
1094,475,79,1
1094,560,58,1
1094,83,80,1
1094,175,81,1
1094,548,82,1
1094,376,83,1
1094,512,84,1
1094,146,85,1
1095,477,59,1
1095,317,54,1
231,188,59,1
231,315,87,1
3,234,59,1
3,233,54,1
98,561,59,1
462,514,59,1
463,143,59,1
464,523,59,1
465,311,59,1
99,455,59,1
466,122,59,1
467,509,59,1
468,432,59,1
469,313,59,1
4,196,59,1
4,439,54,1
100,63,59,1
100,451,64,1
33,133,59,1
470,643,59,1
471,611,59,1
34,276,59,1
472,500,59,1
473,328,59,1
169,393,59,1
769,374,59,1
771,722,59,1
772,607,59,1
773,138,59,1
170,277,59,1
774,338,59,1
775,206,59,1
776,402,59,1
198,179,59,1
926,375,59,1
927,194,59,1
929,193,59,1
930,380,59,1
215,312,59,1
1063,80,59,1
1064,633,59,1
232,187,59,1
232,172,64,1
232,666,87,1
101,531,59,1
101,259,64,1
35,257,59,1
474,131,59,1
475,457,59,1
36,94,59,1
476,612,59,1
477,85,59,1
932,310,59,1
933,502,59,1
1065,212,59,1
102,185,59,1
102,180,64,1
37,608,59,1
478,267,59,1
479,274,59,1
38,17,59,1
480,648,59,1
481,557,59,1
934,126,59,1
935,657,59,1
1066,141,59,1
103,435,59,1
103,168,64,1
39,479,59,1
482,127,59,1
483,201,59,1
40,271,59,1
484,248,59,1
485,130,59,1
936,211,59,1
937,152,59,1
1067,166,59,1
104,203,59,1
104,264,64,1
41,507,59,1
486,569,59,1
487,567,59,1
42,101,59,1
488,442,59,1
489,251,59,1
938,93,59,1
939,189,59,1
1068,505,59,1
171,337,59,1
171,397,64,1
134,102,59,1
777,433,59,1
778,712,59,1
135,262,59,1
779,440,59,1
780,100,59,1
940,92,59,1
941,170,59,1
201,723,59,1
201,67,64,1
942,132,59,1
943,181,59,1
216,250,59,1
216,59,64,1
1069,458,59,1
233,553,59,1
233,369,64,1
233,390,87,1
105,55,59,1
105,645,64,1
43,329,59,1
490,429,59,1
491,88,59,1
44,124,59,1
492,636,59,1
493,318,59,1
944,176,59,1
945,659,59,1
1070,399,59,1
106,81,59,1
106,708,59,1
106,319,64,1
45,64,59,1
494,699,59,1
495,663,59,1
46,621,59,1
496,150,59,1
497,647,59,1
946,453,59,1
317,226,59,1
1071,153,59,1
107,258,59,1
107,60,64,1
47,720,59,1
498,2,59,1
499,445,59,1
48,517,59,1
500,463,59,1
501,222,59,1
947,61,59,1
948,559,59,1
949,174,59,1
1072,386,59,1
108,231,59,1
108,325,64,1
49,253,59,1
502,640,59,1
503,443,59,1
50,339,59,1
504,96,59,1
505,515,59,1
950,632,59,1
951,322,59,1
1073,400,59,1
172,521,59,1
172,558,64,1
136,323,59,1
781,615,59,1
782,701,59,1
137,683,59,1
783,334,59,1
784,704,59,1
952,272,59,1
953,431,59,1
203,510,59,1
203,79,64,1
954,661,59,1
955,254,59,1
217,716,59,1
217,169,64,1
